id,text,created_at,hashtags
1757553829292466667,"@PartaiSocmed Prabowo 1 putaran 
putaran berikut nya 01 dan 03 lanjut ke putaran 2",2024-02-13 23:54:21+00:00,
1757553793879912785,01 jg krn diskola gue mayoritas 02 jd ill just shut my mouth,2024-02-13 23:54:12+00:00,
1757553752113070433,"@ahgalucu @zqhr @Ujuveveve_ Lu yg jauh lebih norak, buat statement seolah-olah dia gak ngejudgemental pdhl asline kagak begitu sifatnya 🥴",2024-02-13 23:54:02+00:00,
1757553722362929253,bismillah 01&amp;03,2024-02-13 23:53:55+00:00,
1757553710354559191,@Bull_winner 01 si paling data ya wkwk,2024-02-13 23:53:52+00:00,
1757553633296810261,"@yusuf_dumdum Enak kalean...bisa milih sesuai dengan hati nurani ..
Saya terbelenggu dengan Ormas yg saya ikuti dn harus thoat kalo gak thoat masuk neraka n gak boleh milih 01 maupun 03..",2024-02-13 23:53:34+00:00,
1757553629605900652,"Sekarang hari coblosan, sudahi ya berantemnya kawan 01,02,03. Wong kita ini satu indonesia kok😁",2024-02-13 23:53:33+00:00,
1757553582050877834,Siap siap aja nih teel penuh ama bucinan ckck,2024-02-13 23:53:22+00:00,
1757553579651740051,"@Frisss1811 @ChrisJ_2211 @ChrisJ_2211 dia mah buta kalo ngeliat Fakta kecurangan 03, 😂😂 minggu tenang 02 duduk manis 01&amp;03 lagi kerja kelompok buat bikin film dirty vote 😂😂😂",2024-02-13 23:53:21+00:00,
1757553572324241688,"@zqhr @Ujuveveve_ @ahgalucu ""kek lu pada"" yg gua maksud orang-orang homophobic, emang Lo merasa? Kalau merasa ya berarti lu termasuk",2024-02-13 23:53:20+00:00,
1757553515822801184,Kejayaan 00 kembali lagi,2024-02-13 23:53:06+00:00,
1757553504082890798,Parpol 01 akan menguasai DPR. Catat itu. Siapapun presidennya,2024-02-13 23:53:03+00:00,
1757553450341315016,"@ch_chotimah2 @Anak__Ogi Berarti kalian 01&amp;03 hrs bersatu mbk, soalnya pak kyai 01 😆awokwokwok",2024-02-13 23:52:50+00:00,
1757553438794063954,@RidaRani3911 Alhumdulillah aap kaisi hen,2024-02-13 23:52:48+00:00,
1757553400672309256,"@zqhr @Ujuveveve_ @ahgalucu Ya kalau lu merasa, berarti Lo juga homophobic",2024-02-13 23:52:39+00:00,
1757553382150262897,"Alhamdulillah menang 01 ☝️.
Tanda2 alam yg baik.",2024-02-13 23:52:34+00:00,
1757553351737344407,"Sbg pendukung02 sakit hati ada ucapan dr mantan ketua PBNU Said Aqil,krn dukung 01 dia main body shaming yg diduga di7kan kpd  P.Prabowo,pendukung 02 boleh serukan jgn pilih01 org pendatang jgn ikut2an kompetisi pilpres,pendatang duduk manis jgn neko2 nikmati saja indahnya Indo",2024-02-13 23:52:27+00:00,
1757553332003164340,"Assalamu'alaikum saudara sebangsa setanah air, jangan golput, datang ke TPS, coblos nomor 01, untuk Indonesia yg lebih maju :) #01AMINwinElection #AMINmenang #AMINIndonesiaLebihBaik #AMINkanIndonesia
#AMINkanDunia https://t.co/vv4oDUCH87",2024-02-13 23:52:22+00:00,"01AMINwinElection, AMINmenang, AMINIndonesiaLebihBaik, AMINkanIndonesia, AMINkanDunia"
1757553320842145989,@tvOneNews orang cerdas sih jadi pilihnya 01 🤪 kalaupun kalah ya pindah ke 03 bukan 02 https://t.co/fRRr4XCQPf,2024-02-13 23:52:20+00:00,
1757553283366002859,"@VIVAcoid tuhkan, gak mungkin pihak 01 atau 03 ini https://t.co/TqS0GRtcyp",2024-02-13 23:52:11+00:00,
1757553213128282335,"@ahgalucu @zqhr @Ujuveveve_ Ya kan sedari awal emang itu yg gua bahas,  intinya dia juga ngejudgemental ke LGBT, jangan seenaknya buat statement kalau dia gak ngejudgemental.",2024-02-13 23:51:54+00:00,
1757553212935332341,Aku lah si pendukung 01 tapi gak yakin 01 menang ntu.,2024-02-13 23:51:54+00:00,
1757553129535730094,"bole gasi ya allah berdoa 01 masuk putaran ke 2😭😭😭 YA ALLAAAH BENCI BGT YANG MILIH ORG yg jls udh cacat konstitusi naiknya. ya allah..😔😔 boleh gasi sbnrnya benci cm grgr politik, awalnya gamau ksel tp ksel bgt 😭",2024-02-13 23:51:34+00:00,
1757553092797911380,@CNNIndonesia emg paling bener tuh pilih 01 atau 03 aja https://t.co/ht1RLbBBIv,2024-02-13 23:51:25+00:00,
1757553086757749159,@FFsuperultimate @Canth_01 Tlgd ne pai,2024-02-13 23:51:24+00:00,
1757553073680248895,iya iya 01 si paling bercih,2024-02-13 23:51:21+00:00,
1757553048765833523,"Gak perlu jauh2 deh. Soal penanganan korupsi. 01 03 udah bahas soal RUU Perampasan Aset segala macem, yg ini malah caranya menaikkan gaji pejabat. Bahkan jgn liat program deh. Liat aja cara masuk cawapresnya aja udah gak bersih.",2024-02-13 23:51:15+00:00,
1757553044139679796,"@strike_bravo_b Lucu banget anjir, naruh label politisasi agama sama zionis buat Anies dalam satu paragraf yang sama wkwkwk",2024-02-13 23:51:14+00:00,
1757553033872097499,"@HisyamMochtar Walaupun dukung 01 tapi nasdem coret sih, banyak mantan napi koruptornya",2024-02-13 23:51:11+00:00,
1757553033507152066,@thisisknia IQ superior pasti pilih 01,2024-02-13 23:51:11+00:00,
1757553031183585673,"Prediksi pertarungan Pilpres di Jawa

Jateng: 02 vs 03
Jabar: 01 vs 02
Jatim: Battle ground, 02 Unggul
DIY: 02 vs 03
Jakarta: 01 vs 02
Banten: 01 vs 02

Ini cuma berdasarkan kecenderungan teman-teman dari berbagai wilayah di Jawa, ya. 😁 https://t.co/FSUW5Wl2Xf",2024-02-13 23:51:11+00:00,
1757553026049708372,"Cawapres 01 @cakimiNOW akan nyoblos di TPS 023 pada pagi (14/2) ini. Lokasinya di kawasan Kemang, Jakarta Selatan. #Pemilu2024 #PilihanIndonesia #CNNIndonesia
https://t.co/me8Qt78dhJ",2024-02-13 23:51:09+00:00,"Pemilu2024, PilihanIndonesia, CNNIndonesia"
1757553014406283347,@MorphoMenelausX Kana dukung 01,2024-02-13 23:51:07+00:00,
1757552967874740403,"Beneran bikin capek sumpah tinggal di lingkungan yang rata-rata pendukung 02. Apalagi kalo lo sebagai pendukung 01, bakal langsung diserang itu, soalnya gue udah kena di kelas kemaren wkwk.",2024-02-13 23:50:55+00:00,
